titre,entreprise,localisation,contrat,secteur,experience,formation,date_publication,description,lien
Assistanat de Direction / Services Généraux                                                                 - Secteur Comptabilité / Audit,,,CDI,,,"Bac +3 Minimum
                                     - BTS / DUT",,"Office Manager - Casablanca Assistanat de Direction / Services Généraux                                                                 - Secteur Comptabilité / Audit Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +3 Minimum
                                     - BTS / DUT Conventionnel Extraversion Flexibilité Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 26 jours sur ReKrute.com -
                                Postulez avant le 18/05/2026 J'aime Entreprise : Nous sommes un cabinet d'audit, d’expertise comptable et de conseil, inscrit au tableau de l’Ordre des Experts Comptables du Maroc et membre du réseau Moore Stephens International. Notre activité s'articule principalement autour du contrôle légal des sociétés, des missions d'audit contractuel, de supervision comptable, de conseil juridique et fiscal. Nous intervenons également sur des missions à forte valeur ajoutée telles que l'audit d'acquisition, le conseil financier et le conseil en organisation. Poste : Missions principales : En tant qu’Office Manager, vous ",https://www.rekrute.com/offre-emploi-office-manager-recrutement-confidentiel-casablanca-180936.html?#matching4K
Production / Qualité / Sécurité / Maintenance- Méthodes / Process / Industrialisation- Secteur Distribution								-,,,CDI,,,"Bac +5 et plus Minimum
                                     - Ecole d'ingénieur",,"Ingénieur Responsable Technique & Actifs - Casablanca Production / Qualité / Sécurité / Maintenance - Méthodes / Process / Industrialisation - Secteur Distribution								- Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur Recherche de nouveauté Respect des règles Ténacité Créativité Besoin d'objectivité Flexibilité Besoin de réflexion Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 27 jours sur ReKrute.com -
                                Postulez avant le 23/04/2026 J'aime Entreprise : Une filiale du Groupe LabelVie recrute ! Poste : Rattaché à la direction des Actifs, votre rôle est d’assurer le bon état de fonctionnement des équipements du site en vue de répondre aux objectifs en matière de coût, hygiène, qualité et sécurité. Pour cela, vos domaines d’activités sont: Gestion technique du site Suivi des prestataires Maintenance préventive et curative Reporting d'exploitation Profil recherché : De formation Bac+5 Master/Ingénieur, vous justifiez d'",https://www.rekrute.com/offre-emploi-ingenieur-responsable-technique-actifs-recrutement-confidentiel-casablanca-180099.html?#matching4K
Directeur Administratif et Financier,Aba Technology,Casablanca (Maroc),CDI,Informatique,"Lancer 4K Directeur Administratif et Financier | Casablanca (Maroc) 2 ABA Technology recherche un Directeur Administratif et Financier expérimenté (10-15 ans) avec une expertise en Big4 et en entreprise. Vous piloterez la performance financière, la f","Lancer 4K Directeur Administratif et Financier | Casablanca (Maroc) 2 ABA Technology recherche un Directeur Administratif et Financier expérimenté (10-15 ans) avec une expertise en Big4 et en entreprise. Vous piloterez la performance financière, la f",17/03/2026,"Emploi - Aba Technology Entreprise: Aba Technology Secteur: Informatique Postes proposés: 3 Description: ABA Technology se positionne en tant que co-constructeur de grandes transformations disruptives – une galaxie technologique – avec comme mission de contribuer au développement des nations plus connectées, durables et résilientes par la puissance de l’électronique, du numérique et du life science. ABA Technology se positionne en tant que co-constructeur de grandes transformations disruptives – une galaxie technologique – avec comme mission de contribuer au développement des nations plus connectées, durables et résilientes par la puissance de l’électronique, du numérique et du life science. [-] Suivre 1                        - 3 sur 3 Page 1 sur            
             1 Lancer 4K Directeur Administratif et Financier | Casablanca (Maroc) 2 ABA Technology recherche un Directeur Administratif et Financier expérimenté (10-15 ans) avec une expertise en Big4 et en entreprise. Vous piloterez la performance financière, la fiscalité, le contrôle de gestion et la trésorerie dans un environnement multi-entités. Idéal pour un leader stratégique et analytique souhaitant structurer les proce",https://www.rekrute.com/aba-technology-emploi-recrutement-335001.html
RH / Personnel / Formation                                                                 - Secteur Agroalimentaire,,,CDI,,,"Bac +3 
                                     - Université",,"un chargé d’administration du personnel - Casablanca RH / Personnel / Formation                                                                 - Secteur Agroalimentaire Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +3 
                                     - Université Respect des règles Flexibilité Ambition CDI Télétravail : Non Publiée il y a 27 jours sur ReKrute.com -
                                Postulez avant le 17/05/2026 J'aime Entreprise : Grand acteur de la restauration recrute pour son compte un (e) chargé(e) d’administration du personnel Poste : Dans le cadre du renforcement de notre équipe RH, nous recrutons un(e) Chargé(e) de l’Administration du Personnel. Missions principales : Assurer la gestion administrative du personnel ( dossiers salariés, attestations…) Suivre les entrées et sorties des collaborateurs Gérer les absences, congés et éléments variables de paie Préparer et contrôler les données liées à la paie Profil recherché : • Bac+3 à Bac+5 en Ressources Humaines ou équivalent • Première expérience réussie dans un poste si",https://www.rekrute.com/offre-emploi-un-charge-dadministration-du-personnel-recrutement-confidentiel-casablanca-180898.html?#matching4K
Assistant - Travel Agency - Casablanca,Hayyak Tourism,Casablanca (Maroc),CDI,Tourisme / Voyage / Loisirs,"Lancer 4K Assistant - Travel Agency - Casablanca | Casablanca (Maroc) 3 Hayyak Tourism recherche un(e) Assistant(e) dynamique à Casablanca pour soutenir les opérations quotidiennes et l'équipe. Ce rôle implique la gestion d'agendas, l'organisation de","Lancer 4K Assistant - Travel Agency - Casablanca | Casablanca (Maroc) 3 Hayyak Tourism recherche un(e) Assistant(e) dynamique à Casablanca pour soutenir les opérations quotidiennes et l'équipe. Ce rôle implique la gestion d'agendas, l'organisation de",17/03/2026,"Emploi - Hayyak Tourism Entreprise: Hayyak Tourism Secteur: Tourisme / Voyage / Loisirs Postes proposés: 1 Description: Hayyak Tourism is a Moroccan travel company offering authentic and personalized experiences across the country’s cities, mountains, and deserts. We provide tailor-made tours, professional local guides, and reliable service to ensure every visitor discovers the true beauty and culture of Morocco. Our mission is to combine excellence with deep respect for local communities and environments. Join a passionate, dynamic team and help us create unforgettable journeys for our clients—especially in the high-potential Gulf markets . Hayyak Tourism is a Moroccan travel company offering authentic and personalized experiences across the country’s cities, mountains, and deserts. We provide tailor-made tours, professional local guides, and reliable service to ensure every visitor discovers the true beauty and culture of Morocco. Our mission is to combine excellence with deep respect for local communities and environments. Join a passionate, dynamic team and help us create unforgettable journeys for our clients—especially in the high-potential Gulf markets . [-] Suivre 1        ",https://www.rekrute.com/hayyak-tourism-emploi-recrutement-348215.html
Développeur backend .NET Core / IA (H/F),Oceane Consulting IT Maroc,Casablanca (Maroc),CDI,Informatique,"Lancer 4K Développeur backend .NET Core / IA (H/F) | Casablanca (Maroc) 3 Développeur Backend .NET Core / IA (H/F) recherche pour un projet innovant. Votre mission : utiliser l'IA générative pour maximiser votre productivité, définir l'architecture t","Lancer 4K Développeur backend .NET Core / IA (H/F) | Casablanca (Maroc) 3 Développeur Backend .NET Core / IA (H/F) recherche pour un projet innovant. Votre mission : utiliser l'IA générative pour maximiser votre productivité, définir l'architecture t",17/03/2026,"Emploi - Oceane Consulting IT Maroc Entreprise: Oceane Consulting IT Maroc Secteur: Informatique Postes proposés: 3 Description: Océane Consulting Group a été fondé fin 2008 suite au rachat d’une SSII.
La société offre à une clientèle de moyennes et grandes entreprises des prestations de services informatiques. Depuis 2009, le chiffre d’affaires (18 M€ en 2013) a été multiplié par 6 en 5 ans.

Océane Consulting compte actuellement 250 collaborateurs intervenant en assistance technique ou en mode forfaitaire auprès de ses clients situés en Ile-de-France, dans les Régions lilloise, grand Ouest et... [+] Océane Consulting Group a été fondé fin 2008 suite au rachat d’une SSII. La société offre à une clientèle de moyennes et grandes entreprises des prestations de services informatiques. Depuis 2009, le chiffre d’affaires (18 M€ en 2013) a été multiplié par 6 en 5 ans. Océane Consulting compte actuellement 250 collaborateurs intervenant en assistance technique ou en mode forfaitaire auprès de ses clients situés en Ile-de-France, dans les Régions lilloise, grand Ouest et lyonnaise. La culture d’entreprise est orientée vers l’Engagement, le Travail d’équipe et le Respect avec la possibilit",https://www.rekrute.com/oceane-consulting-it-maroc-emploi-recrutement-4439.html
Commercial Terrain - Expérimenté (H/F),DECO VERRE,Tout le Maroc (Maroc),CDI,Autres services,"Lancer 4K Commercial Terrain - Expérimenté (H/F) | Tout le Maroc (Maroc) 5 DECO VERRE recherche un Commercial Expérimenté (H/F) pour développer son activité de décoration sur verre. Vous serez responsable de la gestion d'un portefeuille clients, de l","Lancer 4K Commercial Terrain - Expérimenté (H/F) | Tout le Maroc (Maroc) 5 DECO VERRE recherche un Commercial Expérimenté (H/F) pour développer son activité de décoration sur verre. Vous serez responsable de la gestion d'un portefeuille clients, de l",17/03/2026,"Emploi - DECO VERRE Entreprise: DECO VERRE Secteur: Autres services Postes proposés: 2 Description: Transformation et Décoration de Goblerie, de Verre, de Bouteilles et Bocaux Transformation et Décoration de Goblerie, de Verre, de Bouteilles et Bocaux [-] Suivre 1                        - 1 sur 1 Page 1 sur            
             1 Lancer 4K Commercial Terrain - Expérimenté (H/F) | Tout le Maroc (Maroc) 5 DECO VERRE recherche un Commercial Expérimenté (H/F) pour développer son activité de décoration sur verre. Vous serez responsable de la gestion d'un portefeuille clients, de la prospection, et de la promotion de nos produits. Une expérience confirmée de 10 ans en vente et un excellent sens de la négociation sont requis. Publication : du 17/03/2026 au 13/05/2026 |  Postes proposés: 2 Secteur d'activité : Autres Industries - Autres services Fonction : Commercial / Vente / Export , Distribution (métiers de la) Expérience requise : Confirmé (5 à 10 ans) - Expert (10 à 20 ans) Niveau d'étude demandé : Bac +2 Type de contrat proposé : CDI - Télétravail : Non 1                        - 1 sur 1 Page 1 sur            
             1",https://www.rekrute.com/deco-verre-emploi-recrutement-343024.html
Order Coordinator,Hubei Forbon Technology,El Jadida (Maroc),CDD,Agriculture / Environnement,"Lancer 4K Order Coordinator | El Jadida (Maroc) 4 Forbon recrute un coordinateur de commandes à El Jadida. Vos responsabilités incluent la gestion des commandes de bout en bout, la coordination logistique et la liaison avec les clients et les équipes","Lancer 4K Order Coordinator | El Jadida (Maroc) 4 Forbon recrute un coordinateur de commandes à El Jadida. Vos responsabilités incluent la gestion des commandes de bout en bout, la coordination logistique et la liaison avec les clients et les équipes",17/03/2026,"Emploi - Hubei Forbon Technology Entreprise: Hubei Forbon Technology Secteur: Agriculture / Environnement Postes proposés: 1 Description: Forbon is a listed company, stock code 300387. In the traditional fertilizer additives, Forbon is the Asia‘s largest fertilizer additives and service enterprise. Forbon  merged  Holland Novochem company which is the leading additives European enterprises  in 2015.  Forbon  merged  french PST company which is the LDAN  additives enterprises  in 2017. Forbon became the leading company in the fertilizer additives all over the world.

In the agriculture big data and intelligent agriculture, Forbon holding  the SoilOptix company in Canada with... [+] Forbon is a listed company, stock code 300387. In the traditional fertilizer additives, Forbon is the Asia‘s largest fertilizer additives and service enterprise. Forbon  merged  Holland Novochem company which is the leading additives European enterprises  in 2015.  Forbon  merged  french PST company which is the LDAN  additives enterprises  in 2017. Forbon became the leading company in the fertilizer additives all over the world. In the agriculture big data and intelligent agriculture, Forbon holding  the",https://www.rekrute.com/hubei-forbon-technology-emploi-recrutement-346851.html
Développeur Web WordPress Junior / Stage préembauche  Casablanca,Distamed sarl,Casablanca (Maroc),CDI,Matériel Médical,"Lancer 4K Développeur Web WordPress Junior / Stage préembauche  Casablanca | Casablanca (Maroc) 5 Distamed recrute un Développeur Web WordPress Junior (Stage préembauche) à Casablanca. Vos missions incluront la maintenance, le développement et l'opti","Lancer 4K Développeur Web WordPress Junior / Stage préembauche  Casablanca | Casablanca (Maroc) 5 Distamed recrute un Développeur Web WordPress Junior (Stage préembauche) à Casablanca. Vos missions incluront la maintenance, le développement et l'opti",17/03/2026,"Emploi - Distamed sarl Entreprise: Distamed sarl Secteur: Matériel Médical Postes proposés: 2 Description: Distamed occupe une place de leader sur le marché marocain des dispositifs médicaux, avec un réseau puissant de partenaires, publics et privés et de nombreuses installations à travers le pays.

Depuis sa création, Distamed n’a cessé d’améliorer son savoir-faire et ses compétences pour pouvoir poursuivre les changements des systèmes de santé et concevoir des solutions globales et efficace, pour affronter les défis du quotidien. Distamed se démarque par son... [+] Distamed occupe une place de leader sur le marché marocain des dispositifs médicaux, avec un réseau puissant de partenaires, publics et privés et de nombreuses installations à travers le pays. Depuis sa création, Distamed n’a cessé d’améliorer son savoir-faire et ses compétences pour pouvoir poursuivre les changements des systèmes de santé et concevoir des solutions globales et efficace, pour affronter les défis du quotidien. Distamed se démarque par son expertise dans la vente du matériel médical le plus utilisé les domaines de cardiologie, pneumologie,neurologie, exploration du sommeil, réadaptation multidisciplinair",https://www.rekrute.com/distamed-sarl-emploi-recrutement-348003.html
Senior Software Engineer/JAVA/Node.js,Capgemini,Casablanca (Maroc),CDI,Informatique,"Lancer 4K Senior Software Engineer/JAVA/Node.js | Casablanca (Maroc) 1 Capgemini recrute un Développeur Java / Node.js / Angular confirmé pour ses équipes au Maroc. Vous concevrez, développerez et maintiendrez des applications backend, participerez a","Lancer 4K Senior Software Engineer/JAVA/Node.js | Casablanca (Maroc) 1 Capgemini recrute un Développeur Java / Node.js / Angular confirmé pour ses équipes au Maroc. Vous concevrez, développerez et maintiendrez des applications backend, participerez a",16/03/2026,"Emploi - Capgemini Entreprise: Capgemini Secteur: Informatique Postes proposés: 62 Description: Capgemini est un leader mondial, responsable et multiculturel, regroupant 325 000 personnes dans plus de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable.

Fort de 55 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par... [+] Capgemini est un leader mondial, responsable et multiculturel, regroupant 325 000 personnes dans plus de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de 55 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par ses clients pour répondre à l’ensemble de leurs besoins, de la stratégie et ",https://www.rekrute.com/capgemini-emploi-recrutement-7471.html
Audit / Conseil                                                                 - Secteur Assurance / Courtage								- Banque / Finance,,,CDI,,,"Bac +5 et plus Maximum
                                     - Master",,"Auditeur interne junior - Casablanca Audit / Conseil                                                                 - Secteur Assurance / Courtage								- Banque / Finance Junior (1 à 3 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Maximum
                                     - Master Besoin d'objectivité Intuition / Spontanéité Flexibilité Besoin de réflexion Travail en équipe Equilibre personnel Ambition Improvisation CDI Télétravail : Non Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Acteur de référence dans le secteur des assurances au Maroc, notre compagnie œuvre depuis plusieurs années pour offrir des solutions d’assurance et de réassurance innovantes, fiables et adaptées aux besoins de nos clients Poste : Rejoignez une entreprise dynamique du secteur de l' Assurance en tant qu' Auditeur interne junior . Basé(e) à Casablanca , vous aurez pour mission principale de contribuer à l'évaluation et à l'amélioration des processus internes, garantissant ainsi la conformité et l'e",https://www.rekrute.com/offre-emploi-auditeur-interne-junior-recrutement-confidentiel-casablanca-180855.html?#matching4K
Informatique / Electronique                                                                 - Secteur Assurance / Courtage								- Banque / Finance,,,CDI,,,"Bac +5 et plus Minimum
                                     - Ecole d'ingénieur                                     - Master",,"Ingénieur développement .NET - casablanca Informatique / Electronique                                                                 - Secteur Assurance / Courtage								- Banque / Finance Intermédiaire (3 à 5 ans)                                     - Confirmé (5 à 10 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur                                     - Master Créativité Sensibilité émotionnelle Intuition / Spontanéité Besoin d'action Besoin d'autonomie Implication au travail CDI Télétravail : Non Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Acteur de référence dans le secteur des assurances au Maroc, notre compagnie œuvre depuis plusieurs années pour offrir des solutions d’assurance et de réassurance innovantes, fiables et adaptées aux besoins de nos clients Poste : Rejoignez notre dynamique entreprise dans le secteur de l' Assurance Situé au cœur de Casablanca , nous vous proposons de vous épanouir en tant qu' In",https://www.rekrute.com/offre-emploi-ingenieur-developpement-.net-recrutement-confidentiel-casablanca-180854.html?#matching4K
Infirmier(e) Polyvalent(e),FIGEAC Aero Maroc,Nouaceur (Maroc),CDI,Aéronautique / Spatial,"Lancer 4K Infirmier(e) Polyvalent(e) | Nouaceur (Maroc) 4 FIGEAC AERO recherche un(e) Infirmier(e) Polyvalent(e) pour des soins préventifs, la prise en charge des urgences et le suivi médical en milieu industriel. Le poste requiert un diplôme d'infir","Lancer 4K Infirmier(e) Polyvalent(e) | Nouaceur (Maroc) 4 FIGEAC AERO recherche un(e) Infirmier(e) Polyvalent(e) pour des soins préventifs, la prise en charge des urgences et le suivi médical en milieu industriel. Le poste requiert un diplôme d'infir",16/03/2026,"Emploi - FIGEAC Aero Maroc Entreprise: FIGEAC Aero Maroc Secteur: Aéronautique / Spatial Description: FIGEAC AERO est créé en 1989, Spécialisée dans la fourniture de pièces de petites, moyennes et grandes dimensions. C’est à partir de 1994, qu’un groupe se forme et compte aujourd’hui 8 filiales (MTI, Mécabrive, Figeac Aero Tunisie, Figeac Aero Maroc, Figeac Aero North America, Figeac Aero Mexique, Figeac Aero Saint-Nazaire, Figeac Aero Picardie) et deux partenaires (Avantis et Usicap). Certifiée depuis 2006 par l’AFAQ, l’entreprise en forte croissance met en avant de nouveaux projets... [+] FIGEAC AERO est créé en 1989, Spécialisée dans la fourniture de pièces de petites, moyennes et grandes dimensions. C’est à partir de 1994, qu’un groupe se forme et compte aujourd’hui 8 filiales (MTI, Mécabrive, Figeac Aero Tunisie, Figeac Aero Maroc, Figeac Aero North America, Figeac Aero Mexique, Figeac Aero Saint-Nazaire, Figeac Aero Picardie) et deux partenaires (Avantis et Usicap). Certifiée depuis 2006 par l’AFAQ, l’entreprise en forte croissance met en avant de nouveaux projets d’investissements et de management (nouvelles acquisitions de machines, agrandissement des locaux, miseen place d",https://www.rekrute.com/figeac-aero-maroc-emploi-recrutement-316935.html
Chargé(e) de Relation Client,Clinique La Vallée,Tanger (Maroc),CDI,Pharmacie / Santé,"Lancer 4K Chargé(e) de Relation Client | Tanger (Maroc) Clinique La Vallée à Rabat recrute un(e) Chargé(e) de Relation Client expérimenté(e) avec au moins 5 ans d'expérience en centre d'appel. Vos missions incluront le développement commercial, la ge","Lancer 4K Chargé(e) de Relation Client | Tanger (Maroc) Clinique La Vallée à Rabat recrute un(e) Chargé(e) de Relation Client expérimenté(e) avec au moins 5 ans d'expérience en centre d'appel. Vos missions incluront le développement commercial, la ge",16/03/2026,"Emploi - Clinique La Vallée Entreprise: Clinique La Vallée Secteur: Pharmacie / Santé Postes proposés: 4 Description: Clinique La Vallée, située à Rabat, est un établissement de référence en psychiatrie, santé mentale et addictologie.
Nous offrons un cadre de soins humain, sécurisé et innovant, porté par une équipe pluridisciplinaire engagée.
Notre clinique s’inscrit dans une démarche qualité ISO 9001 et valorise la formation continue.
Rejoignez un environnement stimulant, dédié au bien-être et à l'autonomie des patients. Clinique La Vallée, située à Rabat, est un établissement de référence en psychiatrie, santé mentale et addictologie. Nous offrons un cadre de soins humain, sécurisé et innovant, porté par une équipe pluridisciplinaire engagée. Notre clinique s’inscrit dans une démarche qualité ISO 9001 et valorise la formation continue. Rejoignez un environnement stimulant, dédié au bien-être et à l'autonomie des patients. [-] Suivre 1                        - 3 sur 3 Page 1 sur            
             1 Lancer 4K Chargé(e) de Relation Client | Tanger (Maroc) Clinique La Vallée à Rabat recrute un(e) Chargé(e) de Relation Client expérimenté(e) avec au moins 5 ans d'expérience en c",https://www.rekrute.com/clinique-la-vallee-emploi-recrutement-346428.html
Hôtellerie / Restauration (métiers de)- Tourisme (métiers du)- Secteur Hôtellerie / Restauration								- Tourisme / Voyage / Loisirs,,,CDI,,confirmée (minimum 5 ans) dans un poste similaire.,"Bac +5 et plus Minimum
                                     - Ecole d'ingénieur",,"Responsable Technique - Marrakech Hôtellerie / Restauration (métiers de) - Tourisme (métiers du) - Secteur Hôtellerie / Restauration								- Tourisme / Voyage / Loisirs Confirmé (5 à 10 ans)                                     - Expert (10 à 20 ans) Marrakech et région                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur Respect des règles Volonté de persuasion Rationalisme Flexibilité Besoin d'action Travail en équipe Implication au travail Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Dans le cadre du renforcement de ses équipes, une institution de référence accueillant du public recrute un Responsable Technique chargé de piloter et superviser l’ensemble des activités techniques liées à l’exploitation, à la maintenance et au développement de ses infrastructures. Rattaché à la Direction, vous garantissez la fiabilité des installations, la sécurité des personnes et des biens, ainsi que la conformité réglementaire des équipements et bâtiments. Vous contribuez également à l’amélior",https://www.rekrute.com/offre-emploi-responsable-technique-recrutement-confidentiel-marrakech-180833.html?#matching4K
Commercial Sédentaire (H/F)  (Chellalat ),FIRM,Mohammédia (Maroc),CDI,Autres Industries,"Lancer 4K Commercial Sédentaire (H/F)  (Chellalat ) | Mohammédia (Maroc) 2 Commercial Sédentaire (H/F) à Chellalat : Rejoignez FIRM, acteur majeur dans les transports de fluides, pour gérer la relation client, produire des offres commerciales et trai","Lancer 4K Commercial Sédentaire (H/F)  (Chellalat ) | Mohammédia (Maroc) 2 Commercial Sédentaire (H/F) à Chellalat : Rejoignez FIRM, acteur majeur dans les transports de fluides, pour gérer la relation client, produire des offres commerciales et trai",16/03/2026,"Emploi - FIRM Entreprise: FIRM Secteur: Autres Industries Description: Fort d'une expérience de plus de 40 ans dans les transports de fluides, FIRM (Fournitures Industrielles et Réalisations Mécaniques) est un acteur majeur sur le marché marocain dans la commercialisation de la robinetterie industrielle, le tube, les raccords et les accessoires.
Notre notoriété est avant tout liée à notre expertise dans le domaine et à l'assistance technique à nos clients. Fort d'une expérience de plus de 40 ans dans les transports de fluides, FIRM (Fournitures Industrielles et Réalisations Mécaniques) est un acteur majeur sur le marché marocain dans la commercialisation de la robinetterie industrielle, le tube, les raccords et les accessoires. Notre notoriété est avant tout liée à notre expertise dans le domaine et à l'assistance technique à nos clients. [-] Suivre 1                        - 2 sur 2 Page 1 sur            
             1 Lancer 4K Commercial Sédentaire (H/F)  (Chellalat ) | Mohammédia (Maroc) 2 Commercial Sédentaire (H/F) à Chellalat : Rejoignez FIRM, acteur majeur dans les transports de fluides, pour gérer la relation client, produire des offres commerciales et traiter les dossier",https://www.rekrute.com/firm-emploi-recrutement-315330.html
Assistanat de Direction / Services Généraux- Banque (métiers de la)- Secteur Banque / Finance								- Comptabilité / Audit,,,CDI,,,Bac +3 Minimum,,"Assistante  Financière (H/F) - Casablanca Assistanat de Direction / Services Généraux - Banque (métiers de la) - Secteur Banque / Finance								- Comptabilité / Audit Junior (1 à 3 ans)                                     - Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +3 Minimum Respect des règles Distance émotionnelle Rationalisme Travail en équipe Besoin d'objectivité Flexibilité Implication au travail Organisation CDI Télétravail : Non Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Une grande société recrute une Assistante Financière . Poste : Vos responsabilités sont les suivantes : • Traiter le courrier postal et électronique ainsi que les appels téléphoniques • Suivre la circulation des parapheurs • Gérer les agendas électroniques et contrôler les échéances • Saisir, mettre en forme des documents divers (courriers, mails, rapports ….), les reproduire et les diffuser • Répondre aux demandes d'informations des autres services et de l'extérieur • Participer à la ges",https://www.rekrute.com/offre-emploi-assistante-financiere-hf-recrutement-confidentiel-casablanca-180811.html?#matching4K
Assistanat de Direction / Services Généraux- Achats / Supply Chain- Secteur Automobile / Motos / Cycles								- Pétrole / Gaz,,,CDI,,,Bac +2 Minimum,,"Attaché Parc - Mohammédia Assistanat de Direction / Services Généraux - Achats / Supply Chain - Secteur Automobile / Motos / Cycles								- Pétrole / Gaz Junior (1 à 3 ans)                                     - Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Casablanca et région                                     - Maroc Bac +2 Minimum Flexibilité Extraversion Organisation Rationalisme Distance émotionnelle Respect des règles Besoin d'action CDI Télétravail : Non Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Une grande société recrute un Attaché Parc à Mohammédia . Poste : Attaché du parc Mohammedia: Validation et suivi des autorisations de Gasoil Validation des bons de livraison Gasoil Contrôle journalier de l'activité de la flotte par GPS Réalisation de l'état kilométrique mensuel Analyse de la consommation du Gasoil Profil recherché : De formation de bac+2 avec une expérience de 2 ans dans un poste similaire Maîtrise des outils informatiques Connaissance générale des techniques de gestion logistique Traits de personnalité souhaités : ",https://www.rekrute.com/offre-emploi-attache-parc-recrutement-confidentiel-mohammedia-180810.html?#matching4K
Administration des ventes / SAV- Commercial / Vente / Export- Secteur Immobilier / Promoteur / Agence								- Import / Export / Négoce,,,CDI,,,"Bac +4 Minimum
                                     - Master",,"Délégué Régional (H/F) - Oujda Administration des ventes / SAV - Commercial / Vente / Export - Secteur Immobilier / Promoteur / Agence								- Import / Export / Négoce Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Oujda et région                                     - Maroc Bac +4 Minimum
                                     - Master Recherche de nouveauté Respect des règles Implication au travail Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Une grande entreprise leader dans son secteur, recrute un Délégué Régional à Oujda . Poste : Rattachés à la Direction, vos principales missions sont les suivantes : Animer le réseau des stations services de votre région; Assurer le développement du réseau à travers la création de nouvelles stations de service; Développer le volume des ventes des carburants et des lubrifiants; Améliorer en permanence la satisfaction des clients; Prospecter et apporter de nouveaux clients pour chaque segment de marché B TO B; Assurer une veille permanente de la ",https://www.rekrute.com/offre-emploi-delegue-regional-hf-recrutement-confidentiel-oujda-180809.html?#matching4K
Production / Qualité / Sécurité / Maintenance- Travaux / Chantiers / BTP- Secteur Automobile / Motos / Cycles								- Electro-mécanique / Mécanique,,,CDI,,,"Bac +5 et plus Minimum
                                     - Ecole d'ingénieur",,"Responsable Maintenance Véhicules – Parc - Mohammédia Production / Qualité / Sécurité / Maintenance - Travaux / Chantiers / BTP - Secteur Automobile / Motos / Cycles								- Electro-mécanique / Mécanique Intermédiaire (3 à 5 ans) 1 poste(s) sur                                                                            Tout le Maroc                                     - Maroc Bac +5 et plus Minimum
                                     - Ecole d'ingénieur Respect des règles Rationalisme Besoin d'action Travail en équipe Besoin d'objectivité Flexibilité Implication au travail Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 28 jours sur ReKrute.com -
                                Postulez avant le 16/05/2026 J'aime Entreprise : Une entreprise leader dans son secteur, recrute un Responsable Maintenance Véhicules à Mohammédia . Poste : Vos responsabilités seront les suivantes: Assurer et gérer la maintenance préventive et curative des véhicules du parc (camions, citernes, etc.) ; Organiser le dispatching, le suivi et le contrôle des différentes interventions (mécanique, électrique, soudure, entretien…) ; Suivre en temps réel l’état de disponibilité de la flotte",https://www.rekrute.com/offre-emploi-responsable-maintenance-vehicules-parc-recrutement-confidentiel-mohammedia-180808.html?#matching4K
