Titre du poste,Entreprise,Secteur d'activite,Localisation geographique,Competences requises,Niveau d'experience requis,Type de contrat,Date de publication,URL source de l'offre
Responsable achats,GDH,Transport / Achat / Logistique,Casablanca,"bac + 3 ou plus en commerce, gestion ou logistique","dans un poste similaire, idealement dans le secteur de la restauration ou agroalimentaire. bonne connaissance des circuits dapprovisionnement et des produits lies a la restauration. maitrise des outils de gestion des stocks et des achats. sens de lorganisation, rigueur et capacite de negociation. reactivite et aptitude a gerer les priorites dans un environnement dynamique",CDI,30 Apr-10:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369845/RESPONSABLE-ACHATS.html
Ingénieur agronome (production végétale),ANONYME,Agriculture / Environnement / Espaces Verts,Berrechid,,"est un plus) personne a lecoute, serieuse, disciplinee et capable de suivre les instructions motive pour apprendre et evoluer a laise sur terrain",A discuter,30 Apr-10:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10369806/Ingénieur-Agronome-(Production-Végétale).html
Comptable confirme,Confidentielle,Comptabilité / Gestion / Audit,Casablanca,- maitriser le pack office - maitriser les outils informatiques - connaissances des dispositions legales et reglementaires en vigueur dans le pays - connaissance en droit fiscal et droit des societes - avoir une parfaite m,minimum de 5 ans de preference dans le secteur industriel et ayant realise 3 saisons fiscales. vous aurez comme principales,CDI,30 Apr-10:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10366786/COMPTABLE-CONFIRME.html
Assistante administrative,TRANSITAIR,Entreprise / Import / Export,Tanger,"organisationnelles et de communication. - repondre aux appels telephoniques entrants de maniere professionnelle. - une bonne maitrise des langues ( fr , esp , angl ) - rerouter les appels vers les departements concernes. - prendre des messages precis et les transmettre aux destinataires appropries. - recevoir et enregistrer les factures fournisseurs. - assurer le suivi des depots des factures et s'assurer de leur traitement dans les delais. - collaborer avec le service financier pour resoudre les eventuels problemes lies aux factures -effectuer des taches administratives de base telles que la gestion du courrier et la consultation des fournisseurs. - maintenir un systeme de classement organise pour les documents administratifs.",averee en tant qu'assistante de direction ou dans un role similaire.excellentes,A discuter,30 Apr-10:55,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362822/Assistante-Administrative.html
Poste formaticien,,Informatique / Multimédia / Internet,Marrakech,,,CDI,30 Apr-10:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10368273/Poste-Formaticien.html
Agent de facturation,SARL,Comptabilité / Gestion / Audit,Casablanca,,minimum. priere envoyer votre cv et photo via ce site marocannonces,CDI,30 Apr-10:50,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362820/Agent-de-facturation.html
Hse security specialist_industrial_sector_,AVANTA MAROC,Sécurité / Surveillance / Gardiennage,Kénitra,"- bac+3 minimum en ressources humaines, hse ou equivalent - minimum 7 ans dexperience dans un poste similaire, idealement en milieu industriel (automobile, metallurgie ou aeronautique) - bonne connaissance des procedures de securite et des normes hse - experience en gestion dequipes de securite - maitrise des systemes de surveillance et de controle dacces - capacite a gerer les situations durgence et a prendre des decisions rapides","dans un poste similaire. responsabilites : - assurer le controle dacces du site : gestion des entrees/sorties, verification des identites et gestion des visiteurs - surveiller et controler les flux de vehicules et appliquer les protocoles de securite - effectuer des rondes regulieres (batiments, parkings, points sensibles) afin de prevenir tout risque ou intrusion - assurer la surveillance via les systemes de securite (cameras, detecteurs, alarmes) - reagir rapidement aux alertes, incidents ou situations durgence (intrusion, incendie, urgence medicale) - veiller au respect des procedures de securite, des normes hse et des protocoles internes - encadrer et gerer les equipes de securite internes et externes - suivre les plannings, la presence, les heures supplementaires et les temps de repos des equipes",CDI,30 Apr-10:47,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372224/HSE-Security-Specialist-Industrial-Sector-Kénitra.html
Caissier pvt,,Tourisme / Hôtellerie / Restauration,Marrakech,,,,30 Apr-10:47,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372217/CAISSIER-PVT-MARRAKECH.html
Chauffeur transport du personnel (permis d),Linkup Value,Transport / Achat / Logistique,Casablanca,requises,"confirmee en transport de personnel ou conduite de poids lourds. - residence a casablanca ou peripherie obligatoire. - sens des responsabilites, discipline et bon relationnel. poste base a casablanca.",CDI,30 Apr-10:45,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10370673/Chauffeur-Transport-du-personnel-–-(Permis-D).html
Femmes de chambre,-,Tourisme / Hôtellerie / Restauration,Marrakech,,,A discuter,30 Apr-10:41,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10372216/Femmes-de-chambre.html
Magasinier pièces de rechange automobile,,automobile) - bonne connaissance des pieces de rechange automobile - maitrise de,Casablanca,"- experience en tant que magasinier (idealement dans le secteur automobile) - bonne connaissance des pieces de rechange automobile - maitrise des outils informatiques de gestion de stock - rigueur, organisation et sens des responsabilites - esprit dequipe et reactivite","en tant que magasinier (idealement dans le secteur automobile) - bonne connaissance des pieces de rechange automobile - maitrise des outils informatiques de gestion de stock - rigueur, organisation et sens des responsabilites - esprit dequipe et reactivite",,30 Apr-10:40,https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10362806/Magasinier-–-Pièces-de-rechange-automobile.html
